,C1,C2,C3,state,action,optimal_cost,year
369,2100.8494776591315,2159.3494776591315,1101.7794776591315,0,2,1101.7794776591315,37
370,41.779477659131466,42.279477659131466,100.84947765913147,9,0,41.779477659131466,38
371,46.1106464903003,44.779477659131466,100.84947765913147,8,1,44.779477659131466,38
372,55.03455953377857,54.6106464903003,100.84947765913147,7,1,54.6106464903003,38
373,72.009364841792,71.53455953377858,100.84947765913147,6,1,71.53455953377858,38
374,87.14126982127091,115.509364841792,100.84947765913147,5,0,87.14126982127091,38
375,96.42108427823041,140.6412698212709,100.84947765913147,4,0,96.42108427823041,38
376,599.9194776591314,151.9210842782304,100.84947765913147,3,2,100.84947765913147,38
377,2099.919477659131,1656.9194776591312,1100.8494776591315,2,2,1100.8494776591315,38
378,2099.919477659131,2157.919477659131,1100.8494776591315,1,2,1100.8494776591315,38
379,2099.919477659131,2158.419477659131,1100.8494776591315,0,2,1100.8494776591315,38
380,40.849477659131466,41.349477659131466,99.91947765913147,9,0,40.849477659131466,39
381,45.180646490300305,43.849477659131466,99.91947765913147,8,1,43.849477659131466,39
382,54.10455953377857,53.680646490300305,99.91947765913147,7,1,53.680646490300305,39
383,71.07958800062148,70.60455953377857,99.91947765913147,6,1,70.60455953377857,39
384,86.21350740059457,114.57958800062148,99.91947765913147,5,0,86.21350740059457,39
385,95.49113160735796,139.71350740059455,99.91947765913147,4,0,95.49113160735796,39
386,598.9894776591316,150.99113160735794,99.91947765913147,3,2,99.91947765913147,39
387,2098.989477659132,1655.9894776591314,1099.9194776591314,2,2,1099.9194776591314,39
388,2098.989477659132,2156.989477659132,1099.9194776591314,1,2,1099.9194776591314,39
389,2098.989477659132,2157.489477659132,1099.9194776591314,0,2,1099.9194776591314,39
390,39.91947765913147,40.41947765913147,98.98947765913147,9,0,39.91947765913147,40
391,44.250646490300305,42.91947765913147,98.98947765913147,8,1,42.91947765913147,40
392,53.17455953377857,52.750646490300305,98.98947765913147,7,1,52.750646490300305,40
393,70.14983519651841,69.67455953377856,98.98947765913147,6,1,69.67455953377856,40
394,85.28598694314441,113.64983519651841,98.98947765913147,5,0,85.28598694314441,40
395,94.56119151764601,138.7859869431444,98.98947765913147,4,0,94.56119151764601,40
396,598.0594776591315,150.06119151764602,98.98947765913147,3,2,98.98947765913147,40
397,2098.0594776591315,1655.0594776591315,1098.9894776591316,2,2,1098.9894776591316,40
398,2098.0594776591315,2156.0594776591315,1098.9894776591316,1,2,1098.9894776591316,40
399,2098.0594776591315,2156.5594776591315,1098.9894776591316,0,2,1098.9894776591316,40
400,38.989477659131474,39.489477659131474,98.05947765913147,9,0,38.989477659131474,41
401,43.320646490300305,41.989477659131474,98.05947765913147,8,1,41.989477659131474,41
402,52.24455953377857,51.820646490300305,98.05947765913147,7,1,51.820646490300305,41
403,69.22010889867914,68.74455953377857,98.05947765913147,6,1,68.74455953377857,41
404,84.35873356422117,112.72010889867914,98.05947765913147,5,0,84.35873356422117,41
405,93.63126735345367,137.85873356422115,98.05947765913147,4,0,93.63126735345367,41
406,597.1294776591315,149.13126735345367,98.05947765913147,3,2,98.05947765913147,41
407,2097.129477659131,1654.1294776591312,1098.0594776591315,2,2,1098.0594776591315,41
408,2097.129477659131,2155.129477659131,1098.0594776591315,1,2,1098.0594776591315,41
409,2097.129477659131,2155.629477659131,1098.0594776591315,0,2,1098.0594776591315,41
410,38.059477659131474,38.559477659131474,97.12947765913148,9,0,38.059477659131474,42
411,42.390646490300306,41.059477659131474,97.12947765913148,8,1,41.059477659131474,42
412,51.314559533778564,50.890646490300306,97.12947765913148,7,1,50.890646490300306,42
413,68.29041179706837,67.81455953377856,97.12947765913148,6,1,67.81455953377856,42
414,83.43177469934052,111.79041179706837,97.12947765913148,5,0,83.43177469934052,42
415,92.70136334814691,136.9317746993405,97.12947765913148,4,0,92.70136334814691,42
416,596.1994776591314,148.2013633481469,97.12947765913148,3,2,97.12947765913148,42
417,2096.1994776591314,1653.1994776591314,1097.1294776591315,2,2,1097.1294776591315,42
418,2096.1994776591314,2154.1994776591314,1097.1294776591315,1,2,1097.1294776591315,42
419,2096.1994776591314,2154.6994776591314,1097.1294776591315,0,2,1097.1294776591315,42
420,37.129477659131474,37.629477659131474,96.19947765913147,9,0,37.129477659131474,43
421,41.460646490300306,40.129477659131474,96.19947765913147,8,1,40.129477659131474,43
422,50.38455953377856,49.960646490300306,96.19947765913147,7,1,49.960646490300306,43
423,67.36074681270416,66.88455953377856,96.19947765913147,6,1,66.88455953377856,43
424,82.5051402369987,110.86074681270416,96.19947765913147,5,0,82.5051402369987,43
425,91.77148486041685,136.0051402369987,96.19947765913147,4,0,91.77148486041685,43
426,595.2694776591316,147.27148486041685,96.19947765913147,3,2,96.19947765913147,43
427,2095.2694776591316,1652.2694776591316,1096.1994776591314,2,2,1096.1994776591314,43
428,2095.2694776591316,2153.2694776591316,1096.1994776591314,1,2,1096.1994776591314,43
